,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1740304000.0,2040453000.0,1970000000.0,1613000000.0,1673000000.0,1377000000.0,1306000000.0,1138000000.0,1935000000.0,2571000000.0,3877000000.0,4042000000.0,2343000000.0,4054000000.0,4673000000.0,3394000000.0,5061000000.0
revenue,0.0,25289989000.0,28753298000.0,7578907000.0,8276000000.0,9056000000.0,9557000000.0,10187000000.0,12328000000.0,13361000000.0,12878000000.0,13189000000.0,14168000000.0,16295000000.0,77155000000.0,83064000000.0,92870000000.0
net_income,0.0,833684000.0,647154000.0,250659000.0,107000000.0,199000000.0,192000000.0,-30000000.0,145000000.0,101000000.0,-401000000.0,184000000.0,355000000.0,512000000.0,3367000000.0,2933000000.0,2806000000.0
eps_diluted,0.0,4.91,3.83,1.48,0.63,1.2,1.19,-0.19,0.94,0.67,-2.68,1.29,2.58,3.84,25.31,22.67,22.08
depreication,0.0,184812000.0,220350000.0,250274000.0,262910000.0,303000000.0,338000000.0,426000000.0,449000000.0,354000000.0,388000000.0,410000000.0,444000000.0,0.0,0.0,0.0,0.0
long_term_debt,0.0,0.0,7120977000.0,6938158000.0,7412849000.0,7715000000.0,8986000000.0,8923000000.0,11296000000.0,11946000000.0,11614000000.0,14176000000.0,14452000000.0,15896000000.0,19454000000.0,25872000000.0,26212000000.0
long_term_assets,0.0,0.0,4645718000.0,4900678000.0,5966000000.0,6527000000.0,8269000000.0,8435000000.0,7991000000.0,8967000000.0,9206000000.0,9776000000.0,8465000000.0,9186000000.0,11328000000.0,19465000000.0,16872000000.0
