,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,218255000.0,54231000.0,331311000.0,685751000.0,788853000.0,615726000.0,876435000.0,1318209000.0,2087213000.0,718506000.0,1599895000.0,834228000.0,1555634000.0,2027972000.0,3329000000.0,5209000000.0,5972000000.0
revenue,0.0,4239303000.0,7127143000.0,4786959000.0,6099896000.0,10126115000.0,3011811000.0,3749023000.0,4645497000.0,1796761000.0,2402039000.0,3340439000.0,4574536000.0,4320246000.0,2965498000.0,18642000000.0,25702000000.0
net_income,0.0,1089918000.0,2436919000.0,546627000.0,160654000.0,1091123000.0,-504999000.0,580194000.0,444588000.0,-284296000.0,-142352000.0,2430468000.0,892768000.0,636521000.0,337466000.0,4664000000.0,7759000000.0
eps_diluted,0.0,4.37,9.72,2.17,0.63,4.1,-1.88,1.06,0.81,-0.52,-0.25,4.2,1.54,1.1,0.58,7.99,13.22
depreication,0.0,1065545000.0,1326875000.0,1549188000.0,1941926000.0,2516381000.0,3169703000.0,3600976000.0,3997041000.0,3313644000.0,3553417000.0,3409387000.0,3435408000.0,3750000000.0,3400000000.0,3651000000.0,3542000000.0
long_term_debt,0.0,0.0,3624916000.0,4105560000.0,7223440000.0,7531485000.0,8829660000.0,8768358000.0,9287662000.0,8468198000.0,9007070000.0,8756378000.0,8898533000.0,8647907000.0,8495000000.0,9114000000.0,9308000000.0
long_term_assets,0.0,0.0,13842775000.0,16279126000.0,19096787000.0,21584859000.0,23746694000.0,26502223000.0,29342578000.0,24242664000.0,25913985000.0,26553970000.0,28877084000.0,31851661000.0,29943000000.0,29652000000.0,30896000000.0
