,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1470208000.0,697948000.0,929381000.0,109000000.0,390000000.0,394000000.0,5891000000.0,5315000000.0,4582000000.0,5500000000.0,1219000000.0,1203000000.0,1528000000.0,10385000000.0,6631000000.0,4507000000.0
revenue,0.0,2751516000.0,3480515000.0,4069353000.0,20618000000.0,4909000000.0,6827000000.0,8154000000.0,8247000000.0,37490000000.0,10759000000.0,11445000000.0,11878000000.0,20341000000.0,80118000000.0,79571000000.0
net_income,0.0,149438000.0,176844000.0,13552000.0,91271000.0,-8000000.0,-20000000.0,101000000.0,297000000.0,390000000.0,2707000000.0,640000000.0,751000000.0,750000000.0,3024000000.0,2590000000.0
eps_diluted,0.0,0.42,0.49,0.04,0.25,-0.01,-0.03,0.12,0.34,0.45,3.11,0.75,0.87,0.6,2.41,2.06
depreication,0.0,255319000.0,377856000.0,449732000.0,2982000000.0,3187000000.0,3627000000.0,4412000000.0,4688000000.0,6243000000.0,5984000000.0,6486000000.0,6616000000.0,14151000000.0,16383000000.0,13651000000.0
long_term_debt,0.0,0.0,797469000.0,802420000.0,5288639000.0,10038526000.0,20153000000.0,25049000000.0,29989000000.0,30854000000.0,23636000000.0,22391000000.0,37475000000.0,92828000000.0,97692000000.0,96702000000.0
long_term_assets,0.0,0.0,5894626000.0,6324695000.0,6739338000.0,28081000000.0,37725000000.0,42669000000.0,47523000000.0,51674000000.0,61648000000.0,64187000000.0,77616000000.0,176277000000.0,185672000000.0,192271000000.0
