,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,385359000.0,364550000.0,202141000.0,358967000.0,632836000.0,1536349000.0,1289994000.0,3148651000.0,1477265000.0,2081075000.0,2542000000.0,2624000000.0,6312000000.0,10562000000.0,11127000000.0,12221000000.0
net_income,0.0,182246000.0,78455000.0,135729000.0,225715000.0,288663000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,3.74,1.55,2.66,4.41,5.63,7.14,8.56,10.0,13.47,-11.41,13.86,27.75,1.44,28.17,76.35
depreication,0.0,42796000.0,39193000.0,45763000.0,53824000.0,65141000.0,117975000.0,207820000.0,272494000.0,309000000.0,363000000.0,426000000.0,469000000.0,458000000.0,421000000.0,451000000.0
long_term_debt,0.0,0.0,408765000.0,471168000.0,1105798000.0,1461726000.0,3123792000.0,5228459000.0,7597753000.0,9029192000.0,12307788000.0,12204000000.0,13006000000.0,14454000000.0,15183000000.0,20459000000.0
long_term_assets,0.0,0.0,811283000.0,948489000.0,903827000.0,887367000.0,2963519000.0,9657357000.0,13867338000.0,14437454000.0,16416000000.0,14280000000.0,11569000000.0,9668000000.0,10496000000.0,9563000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10743000000.0,2803000000.0,3213000000.0,3339000000.0,6796000000.0,10958000000.0,17090000000.0
