,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
revenue,57474000000.0,36882000000.0,37990000000.0,39307000000.0,40485000000.0,39617000000.0,39621000000.0,39896000000.0,37715000000.0,133045000000.0,122697000000.0,108673000000.0,113590000000.0,143975000000.0
net_income,-4297000000.0,1406000000.0,725000000.0,1194000000.0,1040000000.0,1987000000.0,6266000000.0,1835000000.0,-5151000000.0,2044000000.0,-194000000.0,6427000000.0,10019000000.0,9934000000.0
cash_and_equiv,22679000000.0,21256000000.0,16071000000.0,18422000000.0,20021000000.0,18954000000.0,15238000000.0,12574000000.0,15512000000.0,20844000000.0,19069000000.0,19992000000.0,20067000000.0,19153000000.0
eps_diluted,0.0,0.31,0.28,0.54,0.57,0.66,3.92,1.19,-2.6,5.53,4.57,4.33,6.7,6.13
long_term_assets,0.0,0.0,79680000000.0,79426000000.0,84730000000.0,93685000000.0,124930000000.0,145487000000.0,143738000000.0,152046000000.0,153045000000.0,154270000000.0,162615000000.0,163586000000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,6753000000.0,9686000000.0,11967000000.0,13142000000.0,14060000000.0,12676000000.0,12047000000.0,11276000000.0
