,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2440000000.0,4093000000.0,4701000000.0,7021000000.0,8517000000.0,12803000000.0,8442000000.0,10414000000.0,8958000000.0,7309000000.0,8555000000.0,6102000000.0,9077000000.0,6480000000.0,6795000000.0,9684000000.0,9519000000.0
net_income,0.0,5981000000.0,5807000000.0,6824000000.0,11787000000.0,8584000000.0,9019000000.0,8584000000.0,7098000000.0,7351000000.0,6527000000.0,1248000000.0,6434000000.0,8920000000.0,7747000000.0,9771000000.0,9542000000.0
eps_diluted,0.0,2.57,2.49,2.93,2.53,1.85,1.97,1.9,1.6,1.67,1.49,0.29,1.5,2.07,1.79,2.25,2.19
depreication,0.0,1163000000.0,1228000000.0,1236000000.0,1443000000.0,1954000000.0,1982000000.0,1977000000.0,1976000000.0,1970000000.0,1787000000.0,1260000000.0,1086000000.0,1365000000.0,1536000000.0,1452000000.0,1260000000.0
long_term_debt,0.0,0.0,15769000000.0,18831000000.0,33825000000.0,39980000000.0,44134000000.0,47989000000.0,54932000000.0,57916000000.0,59743000000.0,61251000000.0,59161000000.0,58742000000.0,55211000000.0,59404000000.0,56500000000.0
long_term_assets,0.0,0.0,28343000000.0,31120000000.0,51342000000.0,54477000000.0,55846000000.0,58751000000.0,58982000000.0,56601000000.0,53260000000.0,57934000000.0,58286000000.0,65970000000.0,68056000000.0,71809000000.0,70172000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41863000000.0,36212000000.0,34300000000.0,37266000000.0,33014000000.0,38655000000.0,43004000000.0
