,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,70725000.0,88655000.0,113664000.0,240031000.0,687326000.0,567923000.0,859192000.0,649950000.0,1111286000.0,893219000.0,620813000.0,671707000.0
net_income,0.0,21349000.0,42460000.0,31037000.0,43924000.0,58783000.0,103833000.0,170322000.0,260692000.0,182958000.0,840854000.0,1352446000.0
eps_diluted,0.0,0.39,0.72,0.43,0.6,0.79,1.29,2.1,3.25,2.31,2.63,4.27
depreication,0.0,1779000.0,5044000.0,10021000.0,13671000.0,19749000.0,20640000.0,27671000.0,32849000.0,35158000.0,50334000.0,62700000.0
long_term_assets,0.0,0.0,81754000.0,131544000.0,185562000.0,202881000.0,194431000.0,367181000.0,713654000.0,901921000.0,921753000.0,1224662000.0
revenue,0.0,0.0,0.0,0.0,0.0,1129167000.0,467867000.0,595726000.0,552546000.0,648482000.0,2948037000.0,4381310000.0
