,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,97141000.0,129198000.0,37103000.0,253605000.0,884642000.0,693686000,728272000,1118508000,374854000.0,346529000.0,296967000,380179000,587998000,0.0,0.0,0.0,0.0
net_income,0.0,214154000.0,311405000.0,126779000.0,135513000.0,628962000,149879000,186075000,202508000.0,227889000.0,116853000,181133000,336791000,207187000.0,291387000.0,1477512000.0,1644817000.0
depreication,0.0,310925000.0,249491000.0,182411000.0,197116000.0,215763000,210037000,201033000,211532000.0,244928000.0,301837000,261853000,295144000,291544000.0,294907000.0,315002000.0,378959000.0
long_term_debt,0.0,0.0,1270212000.0,2428605000.0,3102062000.0,3019868000,3259811000,3204078000,3728769000.0,4274926000.0,4257141000,4437664000,5678233000,6242996000.0,6420329000.0,2493313000.0,3257154000.0
long_term_assets,0.0,0.0,2289774000.0,2289597000.0,2267515000.0,2360536000,2641354000,2870154000,3375823000.0,3495773000.0,3707555000,3551816000,5463839000,6023293000.0,6153940000.0,8166025000.0,8328414000.0
revenue,0.0,0.0,0.0,0.0,0.0,1400000000,1500000000,1800000000,0.0,0.0,7440181000,7515426000,7791069000,7986252000.0,8149719000.0,8971337000.0,10419294000.0
