,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,4198000000.0,4650000000.0,6399000000.0,7119000000.0,5897000000.0,4819000000.0,6875000000.0,6021000000.0,5443000000.0,4565000000.0,3644000000.0,4526000000.0,3445000000.0,3508000000.0,3278000000.0,4159000000.0,4156000000.0
revenue,0.0,29183000000.0,34912000000.0,31795000000.0,31589000000.0,37990000000.0,39336000000.0,41848000000.0,39830000000.0,35481000000.0,24929000000.0,25196000000.0,27662000000.0,27978000000.0,26134000000.0,28945000000.0,29446000000.0
net_income,0.0,3611000000.0,3118000000.0,2901000000.0,2561000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,1.57,1.36,1.27,1.12,1.38,1.18,1.21,1.13,0.87,0.88,1.03,1.02,0.67,2.43,2.25,1.3
depreication,0.0,602000000.0,661000000.0,655000000.0,702000000.0,995000000.0,1182000000.0,1318000000.0,1305000000.0,1160000000.0,870000000.0,836000000.0,916000000.0,961000000.0,915000000.0,893000000.0,814000000.0
long_term_debt,0.0,0.0,17913000000.0,16784000000.0,18796000000.0,19868000000.0,27514000000.0,24275000000.0,22946000000.0,23005000000.0,21817000000.0,23560000000.0,26504000000.0,28487000000.0,21384000000.0,21051000000.0,22759000000.0
long_term_assets,0.0,0.0,8774000000.0,9499000000.0,10947000000.0,15861000000.0,21068000000.0,21607000000.0,19866000000.0,18312000000.0,18339000000.0,21323000000.0,22576000000.0,19650000000.0,21862000000.0,21565000000.0,19578000000.0
