,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,3109300000.0,3220500000.0,5496700000.0,4462900000.0,5993200000.0,5922500000.0,4018800000.0,3830200000.0,3871600000.0,3666400000.0,4582100000.0,6211800000.0,7320700000.0,2337500000.0,3657100000.0,3818500000.0,2067000000.0
revenue,0.0,18633500000.0,20371900000.0,21836000000.0,23076000000.0,24286500000.0,5957300000.0,5808800000.0,5121300000.0,5375600000.0,5760500000.0,5406400000.0,5637600000.0,6114000000.0,24539800000.0,28318400000.0,28541400000.0
net_income,0.0,2953000000.0,-2071900000.0,4328800000.0,5069500000.0,4347700000.0,827200000.0,727500000.0,428500000.0,478400000.0,771800000.0,-204100000.0,3232000000.0,8318400000.0,6193700000.0,5581700000.0,6244800000.0
depreication,0.0,-1047900000.0,1122600000.0,1297800000.0,1328200000.0,1373600000.0,1462200000.0,1445600000.0,1379000000.0,1427700000.0,1496600000.0,1567300000.0,1609000000.0,1232600000.0,1323900000.0,1547600000.0,1522500000.0
eps_diluted,0.0,0.0,-1.89,3.94,4.58,3.9,0.74,0.67,0.4,0.45,0.73,-1.58,1.1,1.64,6.79,6.12,6.9
long_term_debt,0.0,0.0,17725400000.0,13223100000.0,13715600000.0,15912400000.0,13920800000.0,14129500000.0,15073800000.0,16208100000.0,19992500000.0,24475900000.0,21084500000.0,25413700000.0,28830300000.0,31793900000.0,31953500000.0
long_term_assets,0.0,0.0,16759300000.0,14974400000.0,16161400000.0,19411600000.0,21360200000.0,22144000000.0,24379300000.0,22995300000.0,23704500000.0,25778900000.0,23358800000.0,25576500000.0,29171000000.0,30353600000.0,31455300000.0
