,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,108000000.0,128000000.0,118000000.0,3079000000.0,4860000000.0,2292000000.0,1494000000.0,1127000000.0,887000000.0,3011000000.0,1687000000.0,1393000000.0,415000000.0,5291000000.0,8625000000.0
revenue,0.0,45530000000.0,17433000000.0,19420000000.0,20686000000.0,24897000000.0,22250000000.0,15607000000.0,17155000000.0,21055000000.0,86086000000.0,28008000000.0,17972000000.0,119983000000.0,177453000000.0
net_income,0.0,449000000.0,230000000.0,-75000000.0,755000000.0,626000000.0,798000000.0,187000000.0,227000000.0,2016000000.0,951000000.0,443000000.0,285000000.0,9738000000.0,14516000000.0
eps_diluted,0.0,1.25,0.64,-0.21,2.24,2.07,1.43,0.35,0.43,4.09,1.35,0.68,-15.13,15.24,28.12
depreication,0.0,670000000.0,941000000.0,891000000.0,995000000.0,1220000000.0,1326000000.0,1502000000.0,2001000000.0,2114000000.0,2170000000.0,3225000000.0,3375000000.0,3364000000.0,3215000000.0
long_term_debt,0.0,0.0,8899000000.0,12890000000.0,8203000000.0,9824000000.0,8579000000.0,6345000000.0,7146000000.0,10478000000.0,13216000000.0,16948000000.0,15663000000.0,17898000000.0,20020000000.0
long_term_assets,0.0,0.0,13176000000.0,13744000000.0,14194000000.0,15648000000.0,19086000000.0,33644000000.0,34012000000.0,35646000000.0,74917000000.0,68098000000.0,56871000000.0,54877000000.0,54662000000.0
