,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,817000000.0,1456000000.0,755000000.0,542000000.0,9454000000.0,5780000000.0,3618000000.0,6246000000.0,5062000000.0,2368000000.0,3610000000.0,6325000000.0,5915000000.0,5088000000.0,2991000000.0,5028000000.0,6458000000.0
net_income,0.0,11891000000.0,-16349000000.0,4858000000.0,11358000000.0,12436000000.0,8428000000.0,9156000000.0,6869000000.0,-4428000000.0,-3615000000.0,-855000000.0,6257000000.0,7189000000.0,-2701000000.0,8079000000.0,18680000000.0
eps_diluted,0.0,7.22,-10.73,3.24,7.62,8.97,6.72,7.38,5.51,-3.58,-2.91,-0.7,0.0,6.4,-2.51,6.07,14.57
depreication,0.0,8298000000.0,9012000000.0,9295000000.0,8004000000.0,6827000000.0,6580000000.0,7434000000.0,8329000000.0,9113000000.0,9062000000.0,6845000000.0,5956000000.0,6090000000.0,5521000000.0,7208000000.0,7504000000.0
long_term_assets,0.0,0.0,122022000000.0,130971000000.0,121654000000.0,123012000000.0,93155000000.0,99034000000.0,101471000000.0,88695000000.0,81163000000.0,56850000000.0,56706000000.0,53601000000.0,50552000000.0,74611000000.0,75080000000.0
revenue,0.0,0.0,0.0,50605000000.0,63335000000.0,66069000000.0,62004000000.0,58248000000.0,55517000000.0,30935000000.0,23693000000.0,29106000000.0,36417000000.0,32567000000.0,13662000000.0,34590000000.0,61049000000.0
