,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,620000000.0,290000000.0,238000000.0,238000000.0,377000000.0,329000000.0,438000000.0,438000000.0,577000000.0,571000000.0,1292000000.0,1714000000.0,638000000.0,600000000.0,1105000000.0,639000000.0,1601000000.0
revenue,0.0,15263000000.0,16410000000.0,3655000000.0,3413000000.0,3864000000.0,3375000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,3.27,4.07,0.85,0.63,1.59,1.02,0.75,2.0,1.1,2.06,4.55,0.88,0.5,0.0,1.81,2.1
depreication,0.0,1335000000.0,1442000000.0,1765000000.0,1807000000.0,1567000000.0,1518000000.0,2163000000.0,2551000000.0,2831000000.0,3120000000.0,2357000000.0,3911000000.0,4216000000.0,4052000000.0,3924000000.0,4503000000.0
net_income,0.0,0.0,1639000000.0,349000000.0,263000000.0,667000000.0,429000000.0,327000000.0,884000000.0,507000000.0,966000000.0,2158000000.0,422000000.0,975000000.0,2919000000.0,3573000000.0,4147000000.0
long_term_assets,0.0,0.0,39429000000.0,44121000000.0,47736000000.0,52316000000.0,59202000000.0,63165000000.0,67661000000.0,75684000000.0,83065000000.0,90782000000.0,97309000000.0,110283000000.0,120302000000.0,131624000000.0,145445000000.0
