,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,157771000.0,204188000.0,355471000.0,262776000.0,235035000.0,312059000.0,874476000.0,836036000.0,424841000.0,783827000.0,466312000.0,1397275000.0,2275077000.0,3608566000.0
net_income,0.0,338753000.0,513873000.0,583852000.0,734082000.0,766628000.0,1039721000.0,1671399000.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.1,0.16,0.18,0.23,0.23,0.31,0.51,0.5,0.27,0.94,0.55,0.79,0.89
long_term_assets,0.0,145419000.0,154236000.0,226206000.0,288843000.0,422614000.0,1041790000.0,1168395000.0,1396131000.0,2654674000.0,3881088000.0,5217401000.0,6359048000.0,5967318000.0
depreication,0.0,35177000.0,46591000.0,37481000.0,26160000.0,28118000.0,28165000.0,47172000.0,123235000.0,303033000.0,375446000.0,529928000.0,514033000.0,414401000.0
revenue,0.0,0.0,1187301000.0,1345077000.0,1614097000.0,2011482000.0,0.0,0.0,0.0,9767501000.0,8509458000.0,11289982000.0,13747297000.0,13990577000.0
