,2019,2020,2021,2022
revenue,4805239000.0,3378000000,5992000000,8399000000
net_income,-674339000.0,-4585000000,-352000000,1893000000
cash_and_equiv,2013547000.0,5480557000,6067000000,7378000000
depreication,57200000.0,67200000,85600000,42600000
long_term_debt,0.0,6955341000,8359000000,9965000000
long_term_assets,0.0,1575113000,1322000000,1177000000
