,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,316000000.0,239000000.0,567000000.0,1244000000.0,2101000000.0,2481000000.0,1974000000.0,4475000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revenue,0.0,33018000000.0,35858000000.0,40492000000.0,38754000000.0,13773000000.0,9679000000.0,9495000000.0,9488000000.0,8830000000.0,7364000000.0,6770000000.0,6966000000.0,6773000000.0,6913000000.0,7298000000.0,28720000000.0,31496000000.0
net_income,0.0,3060000000.0,2721000000.0,2884000000.0,3021000000.0,540000000.0,830000000.0,569000000.0,1766000000.0,500000000.0,-729000000.0,93000000.0,695000000.0,823000000.0,733000000.0,1156000000.0,4300000000.0,2717000000.0
eps_diluted,0.0,1.84,1.7,1.9,2.03,0.31,0.47,0.32,1.0,0.29,-0.46,0.06,0.46,0.56,0.5,0.8,3.04,1.96
depreication,0.0,891000000.0,886000000.0,986000000.0,931000000.0,1440000000.0,1485000000.0,1345000000.0,1077000000.0,1059000000.0,894000000.0,823000000.0,816000000.0,811000000.0,1047000000.0,1116000000.0,1113000000.0,1107000000.0
long_term_debt,0.0,0.0,17113000000.0,11044000000.0,30028000000.0,43867000000.0,45194000000.0,34032000000.0,29867000000.0,29412000000.0,26154000000.0,29154000000.0,29992000000.0,31987000000.0,31197000000.0,15159000000.0,14008000000.0,16731000000.0
long_term_assets,0.0,0.0,57256000000.0,51712000000.0,54260000000.0,79068000000.0,77635000000.0,59804000000.0,59290000000.0,55021000000.0,53885000000.0,53026000000.0,55437000000.0,55014000000.0,56885000000.0,57831000000.0,56750000000.0,61070000000.0
