,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,364000000.0,281000000.0,245000000.0,632000000.0,652000000.0,1014000000.0,541000000.0,391000000.0,466000000.0,405000000.0,558000000.0,588000000.0,511000000.0,716000000.0,4690000000.0,1133000000.0,1348000000.0
eps_diluted,0.0,1.86,1.49,1.21,1.42,1.43,1.69,2.14,2.71,2.73,3.47,4.09,2.84,5.49,7.75,12.04,10.17
depreication,0.0,1464000000.0,1667000000.0,1733000000.0,1684000000.0,1579000000.0,1623000000.0,1562000000.0,1494000000.0,1494000000.0,1453000000.0,1404000000.0,1477000000.0,1262000000.0,1399000000.0,1662000000.0,1766000000.0
long_term_debt,0.0,0.0,7560000000.0,12435000000.0,13692000000.0,15518000000.0,7708000000.0,8876000000.0,9348000000.0,10492000000.0,11974000000.0,12096000000.0,14497000000.0,15182000000.0,18730000000.0,43953000000.0,52781000000.0
long_term_assets,0.0,0.0,23435000000.0,23273000000.0,23732000000.0,23487000000.0,22882000000.0,22436000000.0,21870000000.0,20705000000.0,22408000000.0,22519000000.0,20280000000.0,24153000000.0,24409000000.0,24580000000.0,22266000000.0
net_income,0.0,0.0,0.0,0.0,0.0,0.0,1959000000.0,2286000000.0,2698000000.0,2546000000.0,3091000000.0,3447000000.0,2314000000.0,4281000000.0,5835000000.0,8442000000.0,6437000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65017000000.0,68619000000.0,71309000000.0,72148000000.0,89597000000.0,96250000000.0,97059000000.0
