,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,1746100000.0,917500000.0,2265300000.0,1643300000.0,1389400000.0,1548100000.0,1404200000.0,1983600000.0,1639300000.0,3191100000.0,2780400000.0,2170000000.0,1949200000.0,1908500000.0,2575200000.0,1436300000,2083500000.0
revenue,0.0,2195800000.0,2198000000.0,2405700000.0,2570700000.0,2742800000.0,2486600000.0,2653600000.0,2807000000.0,2987300000.0,12372000000.0,13274200000.0,14110200000.0,14589800000.0,15005400000.0,16498300000,18012200000.0
net_income,0.0,1235700000.0,1332600000.0,1211400000.0,1254200000.0,1388500000.0,377000000.0,331500000.0,341400000.0,510900000.0,670400000.0,558200000.0,651600000.0,411500000.0,2598500000.0,2948900000,3412000000.0
eps_diluted,0.0,2.34,2.63,2.4,2.52,2.82,2.89,3.14,3.05,3.25,3.97,4.25,5.24,5.7,6.07,7,8.21
depreication,0.0,318300000.0,307700000.0,309200000.0,314600000.0,319300000.0,251200000.0,266600000.0,277900000.0,288600000.0,316100000.0,377600000.0,409000000.0,480000000.0,510700000.0,515100000,549300000.0
long_term_debt,0.0,0.0,18808900000.0,20094800000.0,26823800000.0,23252700000.0,24732800000.0,24167600000.0,27113700000.0,37855100000.0,31818300000.0,32415100000.0,34629900000.0,31129400000.0,41079800000.0,58145800000,45756600000.0
long_term_assets,0.0,0.0,4646200000.0,4545500000.0,5528800000.0,5544800000.0,6053600000.0,4566800000.0,4301300000.0,4169600000.0,6228200000.0,7025800000.0,7545400000.0,7601400000.0,8030700000.0,8263300000,8800400000.0
