,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,52545000.0,56797000.0,159573000.0,316286000.0,409437000.0,590179000.0,698649000.0,664479000.0,501482000.0,734846000.0,990501000.0,881320000.0,0.0,0.0,0.0,0.0
net_income,0.0,39363000.0,25701000.0,38794000.0,57316000.0,66111000.0,60451000.0,53153000.0,68285000.0,58944000.0,94413000.0,125982000.0,298021000.0,588913000.0,975322000.0,854800000.0
eps_diluted,0.0,0.55,0.18,0.27,0.39,0.45,0.42,0.38,0.5,0.43,0.71,0.96,2.28,4.5,7.49,6.68
depreication,0.0,15823000.0,20832000.0,24614000.0,30259000.0,43000000.0,49068000.0,58364000.0,73383000.0,87697000.0,108235000.0,122484000.0,161933000.0,185478000.0,224206000.0,291791000.0
long_term_assets,0.0,0.0,90848000.0,110023000.0,207541000.0,264025000.0,306849000.0,345201000.0,397038000.0,494804000.0,562201000.0,655429000.0,1473416000.0,2060836000.0,2327625000.0,2447585000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747655000.0,916138000.0,1397491000.0,4401879000.0,6256617000.0,8110518000.0
