,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1283000000.0,2024000000.0,1774000000.0,2884000000.0,3287000000.0,6946000000.0,3257000000.0,3805000000.0,3731000000.0,4144000000.0,3241000000.0,3800000000.0,6945000000.0,6037000000.0,6266000000.0,7989000000.0,7629000000.0
revenue,0.0,14771000000.0,15003000000.0,14642000000.0,15053000000.0,15582000000.0,17265000000.0,18676000000.0,20063000000.0,21662000000.0,22991000000.0,22849000000.0,23747000000.0,23362000000.0,25424000000.0,25979000000.0,26323000000.0
net_income,0.0,3078000000.0,4052000000.0,931000000.0,1022000000.0,934000000.0,788000000.0,1021000000.0,1294000000.0,1800000000.0,1935000000.0,-4264000000.0,1928000000.0,1703000000.0,1615000000.0,5893000000.0,6552000000.0
eps_diluted,0.0,2.74,3.77,0.92,1.08,1.08,1.01,1.33,1.68,2.37,2.59,-5.89,3.01,2.85,2.76,10.28,12.11
depreication,0.0,1202000000.0,1073000000.0,1049000000.0,1017000000.0,1060000000.0,1088000000.0,1286000000.0,2092000000.0,2108000000.0,2105000000.0,1955000000.0,1946000000.0,2206000000.0,3601000000.0,3398000000.0,3417000000.0
long_term_debt,0.0,0.0,4886000000.0,14474000000.0,19932000000.0,27182000000.0,34720000000.0,40075000000.0,37723000000.0,40093000000.0,45800000000.0,44362000000.0,47417000000.0,42738000000.0,44639000000.0,45493000000.0,54632000000.0
long_term_assets,0.0,0.0,21206000000.0,20697000000.0,20357000000.0,21278000000.0,23089000000.0,38758000000.0,34296000000.0,32934000000.0,31616000000.0,30478000000.0,28798000000.0,41267000000.0,41804000000.0,41780000000.0,42935000000.0
