,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,465000000.0,312000000.0,411000000.0,373000000.0,705000000.0,414000000.0,566000000.0,741000000.0,646000000.0,732000000.0,502000000.0,621000000.0,1793000000.0,1451000000.0,908000000.0
net_income,0.0,1054000000.0,283000000.0,1935000000.0,314000000.0,424000000.0,527000000.0,582000000.0,920000000.0,474000000.0,1064000000.0,1071000000.0,3754000000.0,6956000000.0,5643000000.0
eps_diluted,0.0,2.44,0.65,4.25,0.68,0.92,1.19,1.4,2.39,1.3,3.01,3.09,10.93,21.16,19.15
depreication,0.0,1425000000.0,1421000000.0,1465000000.0,1679000000.0,1753000000.0,1820000000.0,1904000000.0,1966000000.0,2131000000.0,2278000000.0,2596000000.0,2721000000.0,2853000000.0,2969000000.0
long_term_debt,0.0,0.0,32494000000.0,32606000000.0,35102000000.0,34071000000.0,34906000000.0,36004000000.0,37210000000.0,39216000000.0,40390000000.0,41479000000.0,39708000000.0,44161000000.0,47986000000.0
long_term_assets,0.0,0.0,16933000000.0,19665000000.0,20312000000.0,20557000000.0,22050000000.0,23512000000.0,24672000000.0,26616000000.0,28994000000.0,33862000000.0,35157000000.0,37200000000.0,38795000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51336000000.0,51533000000.0,58752000000.0,60233000000.0
