,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,794000000.0,2027000000.0,507000000.0,1542000000.0,3034000000.0,3034000000.0,7327000000.0,4665000000.0,2291000000.0,2730000000.0,3476000000.0,3320000000.0,4225000000.0,5238000000.0,5910000000.0,10255000000.0,5602000000.0
revenue,0.0,49692000000.0,51486000000.0,12377000000.0,13421000000.0,14166000000.0,14571000000.0,14976000000.0,15895000000.0,16054000000.0,61610000000.0,18975000000.0,19848000000.0,20568000000.0,24896000000.0,97287000000.0,100338000000.0
net_income,0.0,382000000.0,3003000000.0,757000000.0,1025000000.0,725000000.0,-1748000000.0,1167000000.0,453000000.0,1331000000.0,-239000000.0,1096000000.0,453000000.0,-106000000.0,-3347000000.0,12890000000.0,11548000000.0
eps_diluted,0.0,0.36,2.94,0.75,1.02,0.74,-1.83,1.25,0.49,1.48,-0.27,1.26,0.52,-0.12,-3.84,14.68,13.2
depreication,0.0,1745000000.0,1814000000.0,1747000000.0,1792000000.0,1782000000.0,1858000000.0,1867000000.0,1923000000.0,2084000000.0,2224000000.0,2282000000.0,2207000000.0,2360000000.0,2698000000.0,2953000000.0,3188000000.0
long_term_debt,0.0,0.0,15614000000.0,15760000000.0,16748000000.0,17642000000.0,20382000000.0,17410000000.0,18702000000.0,24388000000.0,27287000000.0,36772000000.0,36436000000.0,40304000000.0,41488000000.0,39246000000.0,37576000000.0
long_term_assets,0.0,0.0,23034000000.0,22608000000.0,22028000000.0,22417000000.0,23272000000.0,22166000000.0,24222000000.0,25103000000.0,26696000000.0,29856000000.0,33806000000.0,40754000000.0,42192000000.0,44471000000.0,48907000000.0
