,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2128100000.0,1981300000.0,2063400000.0,1796000000.0,2387000000.0,2335700000.0,2336100000.0,2798700000.0,2077900000.0,7685500000.0,1223400000.0,2463800000.0,866000000.0,898500000.0,3449100000.0,4709200000.0,2583800000.0
revenue,0.0,22786600000.0,23522400000.0,5973400000.0,6214100000.0,6822700000.0,6952100000.0,7093200000.0,6572200000.0,6341300000.0,6028900000.0,5340200000.0,5163000000.0,5349000000.0,19207800000.0,23222900000.0,23182600000.0
net_income,0.0,2395100000.0,4313200000.0,1216800000.0,1242300000.0,1376600000.0,1396100000.0,1397000000.0,1097500000.0,1206200000.0,1193400000.0,698700000.0,1415300000.0,1572200000.0,4730500000.0,7545200000.0,6177400000.0
eps_diluted,0.0,1.98,3.76,1.11,1.16,1.33,1.38,1.4,1.13,1.31,1.44,0.87,1.82,2.08,6.31,10.04,8.33
depreication,0.0,1214100000.0,1207800000.0,1216200000.0,1276200000.0,1415000000.0,1488500000.0,1585100000.0,1644500000.0,1555700000.0,1516500000.0,1363400000.0,1482000000.0,1617900000.0,1751400000.0,1868100000.0,1870600000.0
long_term_debt,0.0,0.0,12723900000.0,13567100000.0,14430000000.0,16009600000.0,17035600000.0,17299800000.0,17683600000.0,27072500000.0,29424000000.0,32427000000.0,34048800000.0,37798200000.0,43621600000.0,39642700000.0,39705600000.0
long_term_assets,0.0,0.0,24943900000.0,26808600000.0,27606700000.0,28586900000.0,30464400000.0,31576200000.0,30041900000.0,28295700000.0,26175300000.0,28476500000.0,28758000000.0,43952900000.0,46383600000.0,46705800000.0,45011400000.0
