,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
revenue,169964000000.0,179769000000.0,13112000000.0,12814000000.0,11577000000.0,11770000000.0,113245000000.0,117184000000.0,2585000000.0,110171000000.0,110968000000.0,113543000000.0,90221000000.0,20264000000.0,19492000000.0,21011000000.0
net_income,22208000000.0,17410000000.0,3013000000.0,4535000000.0,3730000000.0,4011000000.0,3206000000.0,5152000000.0,6301000000.0,3667000000.0,-10818000000.0,761000000.0,728000000.0,2636000000.0,-3843000000.0,2222000000.0
eps_diluted,2.17,1.72,0.28,0.42,0.35,0.38,0.32,0.51,0.64,0.39,-1.27,0.07,0.06,2.19,-3.55,1.93
cash_and_equiv,15731000000.0,48187000000.0,72260000000.0,78943000000.0,84501000000.0,0.0,0.0,0.0,70483000000.0,48129000000.0,43299000000.0,0.0,0.0,0.0,0.0,0.0
depreication,10275000000.0,11492000000.0,10636000000.0,9786000000.0,9185000000.0,9346000000.0,6581000000.0,6421000000.0,6499000000.0,6836000000.0,7358000000.0,8223000000.0,0.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162081000000.0,171358000000.0,132526000000.0,121554000000.0
