,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,6598000000.0,7307000000.0,3350000000.0,3987000000.0,5498000000.0,5065000000.0,8478000000.0,5674000000.0,2561000000.0,15308000000.0,5560000000.0,3433000000.0,3019000000.0,0.0,0.0,0.0,0.0
net_income,0.0,6976000000.0,5292000000.0,4369000000.0,11464000000.0,12942000000.0,11005000000.0,9620000000.0,11704000000.0,11420000000.0,10316000000.0,9601000000.0,21053000000.0,21048000000.0,20899000000.0,19868000000.0,8014000000.0
eps_diluted,0.0,1.18,0.92,0.77,2.01,2.39,2.13,1.89,2.31,2.33,2.12,1.99,4.48,4.71,4.94,4.86,1.94
long_term_debt,0.0,0.0,9003000000.0,9640000000.0,11404000000.0,19112000000.0,26034000000.0,26733000000.0,29206000000.0,38353000000.0,45560000000.0,44197000000.0,42485000000.0,51313000000.0,61155000000.0,65563000000.0,70262000000.0
long_term_assets,0.0,0.0,30601000000.0,31938000000.0,31575000000.0,45247000000.0,52993000000.0,60274000000.0,64170000000.0,63139000000.0,77819000000.0,93749000000.0,99176000000.0,105285000000.0,105842000000.0,109848000000.0,131696000000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265000000.0,294000000.0,177000000.0,200000000.0,200000000.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59387000000.0,62761000000.0,70848000000.0,71965000000.0,77867000000.0,79024000000.0,63054000000.0
