,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1607000000.0,2411000000.0,1840000000.0,2717000000.0,3547000000.0,5462000000.0,3807000000.0,6142000000.0,7907000000.0,7560000000.0,5946000000.0,35029000000.0,11777000000.0,11839000000.0,6707000000.0,7116000000.0,2773000000.0
revenue,0.0,8871000000.0,2517000000.0,2668000000.0,3348000000.0,4681000000.0,6018000000.0,6622000000.0,7099000000.0,5775000000.0,5999000000.0,6035000000.0,4842000000.0,5077000000.0,8346000000.0,33566000000.0,44200000000.0
net_income,0.0,3303000000.0,3160000000.0,841000000.0,1170000000.0,1401000000.0,1906000000.0,1875000000.0,1972000000.0,1498000000.0,682000000.0,168000000.0,-4964000000.0,4386000000.0,5198000000.0,9043000000.0,12936000000.0
eps_diluted,0.0,1.95,0.2,0.5,0.71,0.81,1.09,1.09,1.17,0.99,0.46,-4.05,0.87,0.8,2.58,7.87,11.37
depreication,0.0,383000000.0,456000000.0,635000000.0,666000000.0,1061000000.0,897000000.0,1017000000.0,1150000000.0,1214000000.0,1428000000.0,1461000000.0,1561000000.0,1401000000.0,1393000000.0,1582000000.0,1762000000.0
long_term_debt,0.0,0.0,2440000000.0,2813000000.0,5468000000.0,5289000000.0,5302000000.0,5213000000.0,6013000000.0,16069000000.0,17319000000.0,30305000000.0,26754000000.0,22372000000.0,23898000000.0,25652000000.0,25403000000.0
long_term_assets,0.0,0.0,12840000000.0,14875000000.0,18439000000.0,22129000000.0,27367000000.0,25961000000.0,26161000000.0,28697000000.0,29378000000.0,21905000000.0,15334000000.0,16192000000.0,17075000000.0,21165000000.0,28290000000.0
