,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1243000000.0,1485000000.0,2913000000.0,2160000000.0,2459000000.0,2880000000.0,4150000000.0,2287000000.0,4140000000.0,5109000000.0,6506000000.0,7152000000.0,7624000000.0,7763000000.0,8262000000.0
net_income,0.0,204000000.0,155000000.0,-187000000.0,-275000000.0,358000000.0,1003000000.0,206000000.0,180000000.0,2678000000.0,3293000000.0,491000000.0,988000000.0,5861000000.0,8687000000.0
eps_diluted,0.0,0.23,0.15,-0.19,-0.27,0.3,0.84,0.19,0.16,2.19,2.81,0.43,0.87,5.14,7.75
depreication,0.0,2114000000.0,1922000000.0,2162000000.0,2222000000.0,1926000000.0,2270000000.0,2805000000.0,2980000000.0,3861000000.0,4759000000.0,5424000000.0,5650000000.0,6214000000.0,7116000000.0
long_term_debt,0.0,0.0,5062000000.0,4481000000.0,5505000000.0,4125000000.0,4791000000.0,3905000000.0,4835000000.0,5334000000.0,5754000000.0,6390000000.0,12792000000.0,12392000000.0,13559000000.0
long_term_assets,0.0,0.0,8360000000.0,8920000000.0,8570000000.0,10207000000.0,12171000000.0,15547000000.0,18045000000.0,22879000000.0,27337000000.0,32384000000.0,35713000000.0,38942000000.0,44502000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970000000.0,6803000000.0,7913000000.0,5144000000.0,6056000000.0,27705000000.0,30758000000.0
