,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1339000000.0,1962000000.0,1777000000.0,1224000000.0,2578000000.0,3781000000.0,1592000000.0,3393000000.0,3789000000.0,3201000000.0,2233000000.0,1672000000.0,3033000000.0,3032000000.0,2008000000.0,2764000000.0,984000000.0
net_income,0.0,5400000000.0,6857000000.0,2915000000.0,4530000000.0,6771000000.0,4598000000.0,5903000000.0,616000000.0,-7829000000.0,-574000000.0,1311000000.0,4131000000.0,-985000000.0,-14831000000.0,2322000000.0,13304000000.0
eps_diluted,0.0,6.42,8.34,3.58,5.56,8.32,5.67,7.32,0.79,-10.23,-0.75,1.7,5.39,-1.22,-17.06,1.58,12.4
depreication,0.0,2379000000.0,2396000000.0,2687000000.0,3153000000.0,3591000000.0,3585000000.0,4203000000.0,4261000000.0,4544000000.0,4268000000.0,4002000000.0,3977000000.0,6140000000.0,8097000000.0,8447000000.0,6926000000.0
long_term_debt,0.0,0.0,8183000000.0,9048000000.0,12925000000.0,13847000000.0,14890000000.0,15434000000.0,15144000000.0,15242000000.0,16181000000.0,16728000000.0,17613000000.0,51242000000.0,44050000000.0,37352000000.0,26903000000.0
long_term_assets,0.0,0.0,34365000000.0,33622000000.0,39373000000.0,48502000000.0,54718000000.0,58120000000.0,42364000000.0,34007000000.0,34681000000.0,33756000000.0,32227000000.0,92557000000.0,71245000000.0,64825000000.0,63723000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10090000000.0,12508000000.0,15560000000.0,19192000000.0,17130000000.0,25959000000.0,36234000000.0
