,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,14778000000.0,18898000000.0,18347000000.0,16549000000.0,12918000000.0,10715000000,16701000000.0,18498000000.0,26465000000.0,20945000000.0,21879000000.0
revenue,0.0,55519000000.0,66001000000.0,74989000000.0,90272000000.0,110855000000,136819000000.0,161857000000.0,182527000000.0,257637000000.0,282836000000.0
net_income,0.0,12733000000.0,14136000000.0,16348000000.0,19478000000.0,12662000000,30736000000.0,34343000000.0,40269000000.0,76033000000.0,59972000000.0
eps_diluted,0.0,18.79,20.57,0.0,27.85,18,43.7,49.16,2.93,5.61,4.56
long_term_debt,0.0,0.0,19771000000.0,22535000000.0,20756000000.0,28209000000,38682000000.0,49906000000.0,72153000000.0,79694000000.0,84612000000.0
long_term_assets,0.0,0.0,50531000000.0,57347000000.0,62089000000.0,72987000000,97116000000.0,123331000000.0,145320000000.0,171125000000.0,200469000000.0
