,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,15677407.0,17474112.0,49803402.0,56830466.0,67381677.0,101489000.0,140285000.0,223144000.0,166881000.0,234140000.0,388260000.0,440332000.0,1384740000.0,1856394000.0,2585000000.0,1910000000.0
net_income,0.0,18811661.0,11285570.0,15939493.0,21621431.0,30246388.0,40836407.0,34161329.0,105789000.0,136366000.0,-67720000.0,-2337000.0,-53998000.0,-51000000.0,-46000000.0,165000000.0
eps_diluted,0.0,0.42,0.26,0.36,0.47,0.69,0.93,0.76,0.88,1.16,-1.53,-0.05,-1.11,-1.02,-0.92,3.25
depreication,0.0,3335673.0,3893752.0,4921650.0,7268075.0,8959293.0,11879000.0,16947000.0,23209000.0,29022000.0,40921000.0,45792000.0,73320000.0,105000000.0,204000000.0,403000000.0
long_term_assets,0.0,0.0,100479633.0,168047815.0,155685881.0,203308101.0,266198538.0,434098000.0,458433000.0,497974000.0,386268000.0,728396000.0,992835000.0,1179525000.0,1926000000.0,2783000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256275000.0,358064000.0,428019000.0,674271000.0,1328000000.0,2130000000.0,3002000000.0
