,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,23300000.0,41900000.0,56800000.0,55300000.0,65500000.0,19800000.0,16100000.0,56900000.0,74400000.0,19000000.0,63100000.0,5100000.0,344800000.0,334700000.0,1059900000.0,2820000000.0,76000000.0
revenue,0.0,26713800000.0,35469600000.0,8400300000.0,9583600000.0,11585700000.0,11072100000.0,13101300000.0,10190300000.0,0.0,23022300000.0,8426600000.0,9182300000.0,8005300000.0,27200000000.0,40807000000.0,58186000000.0
net_income,0.0,109000000.0,164000000.0,76800000.0,159800000.0,721100000.0,615500000.0,698900000.0,659800000.0,684800000.0,658800000.0,774000000.0,1284700000.0,1096900000.0,3775000000.0,4634000000.0,5487000000.0
eps_diluted,0.0,0.97,1.33,1.48,1.15,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_debt,0.0,0.0,15831100000.0,16981800000.0,19406700000.0,21461800000.0,22410900000.0,24465200000.0,27031100000.0,27843500000.0,29371400000.0,31008800000.0,31845600000.0,34772900000.0,37528700000.0,39760000000.0,38816000000.0
long_term_assets,0.0,0.0,22716100000.0,23436700000.0,25853700000.0,28056400000.0,30091300000.0,33115300000.0,41710300000.0,44503900000.0,45665800000.0,47911700000.0,50909100000.0,53870300000.0,54197300000.0,54256000000.0,57510000000.0
