,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,346060000.0,633390000.0,1236431000.0,662507000.0,1962541000.0,1562034000.0,2138492000.0,1434529000.0,1675000000.0,1704000000.0,4020000000.0,4804000000.0,5484000000.0,5783000000.0,7707000000.0
net_income,0.0,217569000.0,534116000.0,0.0,1678308000.0,1737609000.0,2125372000.0,5196853000.0,1675395000.0,2812000000.0,4010000000.0,296000000.0,3444000000.0,1605000000.0,1096000000.0
eps_diluted,0.0,6.26,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_assets,0.0,192517000.0,343332000.0,1190420000.0,1764785000.0,4618108000.0,5450932000.0,10747421000.0,11844809000.0,15454000000.0,20722000000.0,19498000000.0,22891000000.0,26162000000.0,25826000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14876000000.0,15429000000.0,16410000000.0,19536000000.0,17931000000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869000000.0,896000000.0,905000000.0
