,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,6392000000.0,9352000000.0,11875000000.0,5263000000.0,11261000000.0,9815000000.0,10746000000.0,14259000000.0,13844000000.0,21120000000.0,20484000000.0,20289000000.0,25913000000.0,48844000000.0,38016000000.0,34940000000.0,23646000000.0
net_income,0.0,3495000000.0,2255000000.0,3378000000.0,6004000000.0,13064000000.0,13078000000.0,13072000000.0,18024000000.0,18361000000.0,17891000000.0,20065000000.0,19965000000.0,22236000000.0,12673000000.0,94680000000.0,99803000000.0
eps_diluted,0.0,3.93,2.5,3.67,6.43,13.87,1.97,2.07,3.06,3.28,3.36,3.89,1.05,1.25,0.73,5.61,6.11
long_term_debt,0.0,0.0,11361000000.0,11506000000.0,20722000000.0,27970000000.0,38542000000.0,60618000000.0,92435000000.0,133939000000.0,154433000000.0,198021000000.0,209664000000.0,197525000000.0,204059000000.0,234587000000.0,252941000000.0
long_term_assets,0.0,0.0,6165000000.0,15946000000.0,33505000000.0,71383000000.0,118411000000.0,133714000000.0,163308000000.0,200967000000.0,214817000000.0,246674000000.0,234386000000.0,175697000000.0,180175000000.0,216166000000.0,217350000000.0
depreication,0.0,0.0,387000000.0,606000000.0,815000000.0,1600000000.0,2600000000.0,5800000000.0,6900000000.0,9200000000.0,8300000000.0,10157000000.0,10903000000.0,12547000000.0,11056000000.0,11284000000.0,11104000000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78351000000.0,88293000000.0,84310000000.0,91819000000.0,64698000000.0,365817000000.0,394328000000.0
