,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-167000000.0,-456000000.0,390000000.0,-115000000.0,348000000.0,539000000.0,1526000000.0,200000000.0,2215000000.0,2208000000.0,243000000.0,52000000.0,1871000000.0,2787000000.0
cash_and_equiv,1026000000.0,898000000.0,743000000.0,617000000.0,670000000.0,1185000000.0,1614000000.0,1894000000.0,3547000000.0,2789000000.0,1045000000.0,2275000000.0,2830000000.0,3845000000.0
depreication,818000000.0,684000000.0,591000000.0,533000000.0,514000000.0,405000000.0,517000000.0,2205000000.0,2173000000.0,1987000000.0,2047000000.0,1988000000.0,1262000000.0,1250000000.0
long_term_debt,0.0,5876000000.0,4796000000.0,1496000000.0,1193000000.0,1320000000.0,2548000000.0,2433000000.0,2718000000.0,3385000000.0,9191000000.0,9667000000.0,13102000000.0,14520000000.0
long_term_assets,0.0,5501000000.0,4646000000.0,4485000000.0,4357000000.0,4220000000.0,21542000000.0,19500000000.0,18005000000.0,16305000000.0,16749000000.0,15523000000.0,15636000000.0,16301000000.0
eps_diluted,0.0,0.0,1.57,-0.46,1.36,2.17,6.1,0.58,6.41,6.72,0.85,0.18,6.79,10.55
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498000000.0,9256000000.0,9407000000.0,8877000000.0,8612000000.0,11063000000.0,13205000000.0
