,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,10493000000.0,7362000000.0,9347000000.0,8716000000.0,14060000000.0,15864000000.0,20939000000.0,16245000000.0,12785000000.0,11022000000.0,6988000000.0,4813000000.0,9342000000.0,0.0,5596000000.0,5640000000.0,17678000000.0
revenue,0.0,220904000000.0,273005000000.0,171636000000.0,204928000000.0,253706000000.0,241909000000.0,228848000000.0,211970000000.0,138477000000.0,114472000000.0,141722000000.0,158902000000.0,139865000000.0,94471000000.0,155606000000.0,235717000000.0
net_income,0.0,18688000000.0,23931000000.0,10483000000.0,19024000000.0,26895000000.0,26179000000.0,21423000000.0,19241000000.0,4587000000.0,-497000000.0,9195000000.0,14824000000.0,2924000000.0,-5543000000.0,15625000000.0,35465000000.0
eps_diluted,0.0,8.77,11.67,5.24,9.48,13.44,13.32,11.09,10.14,2.45,-0.27,4.85,7.74,1.54,-2.96,8.14,18.28
depreication,0.0,8708000000.0,9528000000.0,12110000000.0,13063000000.0,12911000000.0,13413000000.0,14186000000.0,16793000000.0,21037000000.0,19457000000.0,19349000000.0,19419000000.0,29218000000.0,19508000000.0,17925000000.0,16319000000.0
long_term_debt,0.0,0.0,37765000000.0,31916000000.0,34648000000.0,37701000000.0,40298000000.0,44978000000.0,47886000000.0,52538000000.0,64275000000.0,57971000000.0,50901000000.0,45260000000.0,47859000000.0,52467000000.0,34208000000.0
long_term_assets,0.0,0.0,124695000000.0,127405000000.0,135928000000.0,156240000000.0,177262000000.0,203503000000.0,223794000000.0,230110000000.0,230459000000.0,225246000000.0,219842000000.0,209099000000.0,213712000000.0,205797000000.0,207366000000.0
