,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,7788000.0,38457000.0,68088000.0,118989000.0,366303000.0,252455000.0,412305000.0,401238000.0,726495000.0,566204000.0,776000000.0,1677000000.0,1728000000.0,1470000000.0
revenue,0.0,37944000.0,73375000.0,243712000.0,424650000.0,682563000.0,1005480000.0,1390985000.0,1918494000.0,2608816000.0,3460000000.0,4519000000.0,5896000000.0,7245000000.0
net_income,0.0,4803000.0,-6684000.0,-37348000.0,-73708000.0,-179387000.0,-198426000.0,-414249000.0,-116846000.0,-26704000.0,626698000.0,119000000.0,230000000.0,325000000.0
eps_diluted,0.0,0.04,-0.33,-0.51,-0.54,0.0,0.0,0.0,-0.68,-0.15,3.18,0.59,1.13,1.6
depreication,0.0,502000.0,2045000.0,13506000.0,24152000.0,42059000.0,60356000.0,83082000.0,113875000.0,149604000.0,252000000.0,336000000.0,472000000.0,433000000.0
long_term_assets,0.0,0.0,25816000.0,56025000.0,370727000.0,517766000.0,721417000.0,691232000.0,1128294000.0,1534447000.0,3195529000.0,4193000000.0,5578000000.0,6645000000.0
