,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,245705000.0,281874000.0,71924000.0,107311000.0,121676000.0,143530000.0,165703000.0,185936000.0,208597000.0,182081000.0,443900000.0,257100000.0,871100000.0,255800000.0,287800000.0,1928400000.0
eps_diluted,2.64,3.01,0.77,1.1,1.23,1.44,1.65,1.84,2.05,1.78,4.27,2.46,8.28,2.41,2.7,18.06
cash_and_equiv,178069000.0,178069000.0,167708000.0,270394000.0,338101000.0,370590000.0,459720000.0,610430000.0,778500000.0,757200000.0,671300000.0,364400000.0,709700000.0,308300000.0,351500000.0,792800000.0
long_term_debt,0.0,1652596000.0,1518973000.0,1880690000.0,1569306000.0,3108332000.0,3107943000.0,2829321000.0,3991350000.0,7654808000.0,7184900000.0,6389900000.0,7672700000.0,12005200000.0,11043600000.0,9554200000.0
long_term_assets,0.0,3113231000.0,3456991000.0,4071433000.0,4203944000.0,5825562000.0,6795783000.0,6888080000.0,8550318000.0,12548399000.0,12557000000.0,13638800000.0,16109400000.0,22272500000.0,21292800000.0,25048400000.0
depreication,0.0,0.0,0.0,123021000.0,140143000.0,154748000.0,189190000.0,197284000.0,204261000.0,240500000.0,345000000.0,367000000.0,408800000.0,491600000.0,615900000.0,650100000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3789900000.0,1226600000.0,1376300000.0,1394800000.0,1335600000.0,1256600000.0,1430900000.0
